# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
100000 2000
286 2.14125 0 0
287 2.14875 0 0
288 2.15625 0 0
289 2.16375 0 0
290 2.17125 0 0
291 2.17875 0 0
292 2.18625 0 0
293 2.19375 0 0
294 2.20125 0 0
295 2.20875 0 0
296 2.21625 0 0
297 2.22375 0 0
298 2.23125 0 0
299 2.23875 0 0
300 2.24625 0 0
301 2.25375 0 0
302 2.26125 0 0
303 2.26875 0 0
304 2.27625 0 0
305 2.28375 0 0
306 2.29125 0 0
307 2.29875 0 0
308 2.30625 0 0
309 2.31375 0 0
310 2.32125 0 0
311 2.32875 0 0
312 2.33625 0 0
313 2.34375 0 0
314 2.35125 0 0
315 2.35875 0 0
316 2.36625 0 0
317 2.37375 0 0
318 2.38125 0 0
319 2.38875 0 0
320 2.39625 0 0
321 2.40375 0 0
322 2.41125 0 0
323 2.41875 0 0
324 2.42625 0 0
325 2.43375 0 0
326 2.44125 0 0
327 2.44875 0 0
328 2.45625 0 0
329 2.46375 0 0
330 2.47125 0 0
331 2.47875 0 0
332 2.48625 0 0
333 2.49375 0 0
334 2.50125 0 0
335 2.50875 0 0
336 2.51625 0 0
337 2.52375 0 0
338 2.53125 0 0
339 2.53875 0 0
340 2.54625 0 0
341 2.55375 0 0
342 2.56125 0.000210244 3.90625e-06
343 2.56875 0 3.90625e-06
344 2.57625 0.000415605 1.17188e-05
345 2.58375 0.00103299 3.125e-05
346 2.59125 0.000205404 3.51562e-05
347 2.59875 0.000612659 4.6875e-05
348 2.60625 0.00121828 7.03125e-05
349 2.61375 0.00080753 8.59375e-05
350 2.62125 0.00341239 0.000152344
351 2.62875 0.00479004 0.000246094
352 2.63625 0.00555663 0.000355469
353 2.64375 0.00532782 0.000460937
354 2.65125 0.00863333 0.000632813
355 2.65875 0.0103406 0.000839844
356 2.66625 0.0133867 0.00110937
357 2.67375 0.0179419 0.00147266
358 2.68125 0.0220623 0.00192187
359 2.68875 0.028235 0.0025
360 2.69625 0.0364257 0.00325
361 2.70375 0.0449025 0.00417969
362 2.71125 0.0525346 0.00527344
363 2.71875 0.0625076 0.00658203
364 2.72625 0.0807207 0.00828125
365 2.73375 0.0933813 0.0102578
