# Radius 	finiterdf__LJ_LJ	rdf__LJ_LJ	
2.13199 0	0	
2.14108 0	0	
2.15017 0	0	
2.15926 0	0	
2.16835 0	0	
2.17744 0	0	
2.18654 0	0	
2.19563 0	0	
2.20472 0	0	
2.21381 0	0	
2.2229 0	0	
2.23199 0	0	
2.24108 0	0	
2.25018 0	0	
2.25927 0	0	
2.26836 0	0	
2.27745 0	0	
2.28654 0	0	
2.29563 0	0	
2.30473 0	0	
2.31382 0	0	
2.32291 0	0	
2.332 0	0	
2.34109 0	0	
2.35018 0	0	
2.35928 0	0	
2.36837 0	0	
2.37746 0	0	
2.38655 0	0	
2.39564 0	0	
2.40473 0	0	
2.41383 0	0	
2.42292 0	0	
2.43201 0	0	
2.4411 0	0	
2.45019 0	0	
2.45928 0	0	
2.46838 0	0	
2.47747 0	0	
2.48656 0	0	
2.49565 0	0	
2.50474 0	0	
2.51383 0	0	
2.52293 0	0	
2.53202 0	0	
2.54111 0	0	
2.5502 0	0	
2.55929 0.00017319	0.000172809	
2.56838 0	0	
2.57748 0.000683022	0.000681456	
2.58657 0.000508671	0.000507483	
2.59566 0.000673486	0.000671881	
2.60475 0.000835991	0.000833961	
2.61384 0.00116226	0.00115938	
2.62293 0.00395731	0.00394734	
2.63202 0.00507628	0.00506325	
2.64112 0.00487876	0.00486601	
2.65021 0.0083986	0.00837626	
2.6593 0.010587	0.0105583	
2.66839 0.0141793	0.0141402	
2.67748 0.019305	0.0192509	
2.68657 0.0268758	0.0267993	
2.69567 0.0362176	0.0361127	
2.70476 0.0451232	0.0449904	
2.71385 0.0571434	0.0569725	
2.72294 0.0705323	0.0703181	
2.73203 0.0896693	0.0893929	
2.74112 0.104626	0.104299	
2.75022 0.128982	0.128573	
2.75931 0.146608	0.146137	
2.7684 0.190643	0.190023	
2.77749 0.211749	0.21105	
2.78658 0.2466	0.245776	
2.79567 0.28825	0.287277	
2.80477 0.334692	0.333551	
2.81386 0.374941	0.37365	
2.82295 0.430324	0.428829	
2.83204 0.491213	0.489492	
2.84113 0.54499	0.543068	
2.85022 0.600725	0.598594	
2.85932 0.664067	0.661698	
2.86841 0.728663	0.726053	
2.8775 0.80942	0.806511	
2.88659 0.860556	0.857457	
2.89568 0.935252	0.93188	
2.90477 0.991519	0.987944	
2.91387 1.06724	1.0634	
2.92296 1.12063	1.1166	
2.93205 1.20698	1.20265	
2.94114 1.29579	1.29116	
2.95023 1.35389	1.34909	
2.95932 1.41683	1.41184	
2.96841 1.46609	1.46097	
2.97751 1.54442	1.53907	
2.9866 1.61223	1.6067	
2.99569 1.67514	1.66947	
3.00478 1.74995	1.74411	
3.01387 1.78974	1.78385	
3.02296 1.85012	1.84413	
3.03206 1.90962	1.90354	
3.04115 1.95281	1.9467	
3.05024 2.00007	1.99395	
3.05933 2.06141	2.05523	
3.06842 2.09765	2.09151	
3.07751 2.1236	2.11753	
3.08661 2.16635	2.16033	
3.0957 2.21272	2.20674	
3.10479 2.24767	2.24178	
3.11388 2.23269	2.22702	
3.12297 2.31358	2.3079	
3.13206 2.32688	2.32137	
3.14116 2.31009	2.30482	
3.15025 2.33244	2.32733	
3.15934 2.38143	2.37643	
3.16843 2.38858	2.38379	
3.17752 2.37841	2.37386	
3.18661 2.41424	2.40985	
3.19571 2.38897	2.38486	
3.2048 2.37554	2.37168	
3.21389 2.39628	2.39262	
3.22298 2.3807	2.3773	
3.23207 2.40859	2.40539	
3.24116 2.37696	2.37403	
3.25026 2.37109	2.3684	
3.25935 2.36226	2.35981	
3.26844 2.3383	2.3361	
3.27753 2.36041	2.35842	
3.28662 2.34684	2.3451	
3.29571 2.31991	2.31842	
3.3048 2.29024	2.28898	
3.3139 2.27748	2.27644	
3.32299 2.28959	2.28877	
3.33208 2.2532	2.25261	
3.34117 2.23415	2.23377	
3.35026 2.24458	2.24441	
3.35935 2.21435	2.21439	
3.36845 2.20282	2.20305	
3.37754 2.18421	2.18465	
3.38663 2.1453	2.14592	
3.39572 2.08946	2.09024	
3.40481 2.11129	2.11227	
3.4139 2.07553	2.07667	
3.423 2.04225	2.04354	
3.43209 2.04792	2.04938	
3.44118 2.02782	2.02943	
3.45027 2.01429	2.01606	
3.45936 1.95072	1.95259	
3.46845 1.91873	1.92071	
3.47755 1.92194	1.92406	
3.48664 1.91258	1.91484	
3.49573 1.87544	1.8778	
3.50482 1.84476	1.84721	
3.51391 1.81226	1.81479	
3.523 1.82184	1.82451	
3.5321 1.80447	1.80724	
3.54119 1.76347	1.76628	
3.55028 1.7297	1.73257	
3.55937 1.73994	1.74294	
3.56846 1.71051	1.71357	
3.57755 1.70014	1.70329	
3.58665 1.65899	1.66216	
3.59574 1.64719	1.65043	
3.60483 1.62414	1.62742	
3.61392 1.58358	1.58686	
3.62301 1.59863	1.60203	
3.6321 1.55263	1.55601	
3.64119 1.55439	1.55785	
3.65029 1.53371	1.5372	
3.65938 1.52017	1.5237	
3.66847 1.51256	1.51615	
3.67756 1.46835	1.4719	
3.68665 1.44635	1.4499	
3.69574 1.4448	1.44841	
3.70484 1.42384	1.42745	
3.71393 1.40585	1.40948	
3.72302 1.38672	1.39034	
3.73211 1.35187	1.35545	
3.7412 1.36403	1.36769	
3.75029 1.35235	1.35602	
3.75939 1.31515	1.31876	
3.76848 1.31848	1.32214	
3.77757 1.29608	1.29972	
3.78666 1.26906	1.27266	
3.79575 1.26598	1.2696	
3.80484 1.238	1.24157	
3.81394 1.23436	1.23795	
3.82303 1.21693	1.2205	
3.83212 1.2165	1.22009	
3.84121 1.18291	1.18643	
3.8503 1.16035	1.16381	
3.85939 1.17796	1.1815	
3.86849 1.15144	1.15491	
3.87758 1.1342	1.13764	
3.88667 1.11117	1.11456	
3.89576 1.1332	1.13667	
3.90485 1.10018	1.10356	
3.91394 1.10026	1.10365	
3.92304 1.08146	1.0848	
3.93213 1.06193	1.06522	
3.94122 1.06288	1.06618	
3.95031 1.05116	1.05443	
3.9594 1.04084	1.04408	
3.96849 1.02239	1.02558	
3.97758 1.02884	1.03205	
3.98668 0.996813	0.999926	
3.99577 0.990364	0.993456	
4.00486 0.99535	0.998457	
4.01395 0.965711	0.968722	
4.02304 0.973827	0.976861	
4.03213 0.968114	0.971128	
4.04123 0.953969	0.956934	
4.05032 0.953564	0.956523	
4.05941 0.942895	0.945815	
4.0685 0.91326	0.91608	
4.07759 0.931503	0.934371	
4.08668 0.90977	0.912563	
4.09578 0.910672	0.913459	
4.10487 0.896612	0.899345	
4.11396 0.889436	0.892136	
4.12305 0.88445	0.887123	
4.13214 0.875314	0.877947	
4.14123 0.875179	0.877799	
4.15033 0.870229	0.872821	
4.15942 0.859676	0.862222	
4.16851 0.837063	0.839526	
4.1776 0.827573	0.829992	
4.18669 0.83835	0.840785	
4.19578 0.826344	0.828727	
4.20488 0.824635	0.826996	
4.21397 0.803769	0.80605	
4.22306 0.814369	0.816662	
4.23215 0.811127	0.813393	
4.24124 0.814338	0.816594	
4.25033 0.805207	0.807418	
4.25943 0.800522	0.802701	
4.26852 0.795435	0.79758	
4.27761 0.781704	0.783791	
4.2867 0.785182	0.787257	
4.29579 0.763974	0.76597	
4.30488 0.772503	0.7745	
4.31397 0.768214	0.770177	
4.32307 0.764015	0.765944	
4.33216 0.762686	0.764588	
4.34125 0.762143	0.764021	
4.35034 0.745115	0.746926	
4.35943 0.744696	0.746482	
4.36852 0.742491	0.744247	
4.37762 0.754742	0.756502	
4.38671 0.740534	0.742236	
4.3958 0.727494	0.72914	
4.40489 0.732854	0.734486	
4.41398 0.732983	0.734589	
4.42307 0.729915	0.731487	
4.43217 0.721033	0.72256	
4.44126 0.719924	0.721421	
4.45035 0.720651	0.722123	
4.45944 0.720169	0.721612	
4.46853 0.727126	0.728556	
4.47762 0.722988	0.724383	
4.48672 0.721977	0.723342	
4.49581 0.706376	0.707682	
4.5049 0.691566	0.692815	
4.51399 0.707879	0.709128	
4.52308 0.703317	0.704529	
4.53217 0.710991	0.712188	
4.54127 0.705507	0.706665	
4.55036 0.700992	0.702113	
4.55945 0.705075	0.706173	
4.56854 0.690097	0.69114	
4.57763 0.698294	0.699319	
4.58672 0.690783	0.691767	
4.59582 0.68816	0.689109	
4.60491 0.697375	0.698306	
4.614 0.692978	0.693872	
4.62309 0.683886	0.684736	
4.63218 0.691354	0.692183	
4.64127 0.68491	0.685698	
4.65036 0.690207	0.69097	
4.65946 0.682553	0.683275	
4.66855 0.693533	0.694235	
4.67764 0.684048	0.684708	
4.68673 0.684754	0.685381	
4.69582 0.677166	0.677754	
4.70491 0.685672	0.686234	
4.71401 0.681753	0.682279	
4.7231 0.681623	0.682115	
4.73219 0.688125	0.688588	
4.74128 0.677818	0.678241	
4.75037 0.68538	0.685774	
4.75946 0.679459	0.679816	
4.76856 0.703561	0.703897	
4.77765 0.684386	0.684679	
4.78674 0.697681	0.697947	
4.79583 0.682609	0.682835	
4.80492 0.691673	0.691868	
4.81401 0.691805	0.691965	
4.82311 0.691686	0.691812	
4.8322 0.697733	0.697826	
4.84129 0.692985	0.693044	
4.85038 0.689329	0.689352	
4.85947 0.697801	0.69779	
4.86856 0.706923	0.706877	
4.87766 0.696804	0.696725	
4.88675 0.707895	0.70778	
4.89584 0.69443	0.694282	
4.90493 0.700817	0.700633	
4.91402 0.694703	0.694485	
4.92311 0.69462	0.694366	
4.93221 0.703346	0.703054	
4.9413 0.715303	0.714971	
4.95039 0.709669	0.709305	
4.95948 0.701858	0.701462	
4.96857 0.716891	0.716452	
4.97766 0.723477	0.723	
4.98676 0.723807	0.723295	
4.99585 0.723629	0.723083	
5.00494 0.717923	0.717346	
5.01403 0.719292	0.718679	
5.02312 0.725818	0.725164	
5.03221 0.731709	0.731015	
5.0413 0.736571	0.735838	
5.0504 0.747308	0.746531	
5.05949 0.743827	0.74302	
5.06858 0.74306	0.742219	
5.07767 0.749025	0.748144	
5.08676 0.751435	0.750518	
5.09585 0.752644	0.751692	
5.10495 0.761806	0.760809	
5.11404 0.761919	0.760889	
5.12313 0.762113	0.761049	
5.13222 0.764454	0.763354	
5.14131 0.766517	0.765381	
5.1504 0.785794	0.784598	
5.1595 0.778467	0.777251	
5.16859 0.780911	0.779659	
5.17768 0.792812	0.79151	
5.18677 0.792945	0.791612	
5.19586 0.789542	0.788183	
5.20495 0.796208	0.794806	
5.21405 0.793767	0.792339	
5.22314 0.811672	0.810183	
5.23223 0.812583	0.811063	
5.24132 0.811666	0.810118	
5.25041 0.820174	0.818581	
5.2595 0.82583	0.824198	
5.2686 0.825475	0.823816	
5.27769 0.83758	0.83587	
5.28678 0.841602	0.839857	
5.29587 0.848988	0.847203	
5.30496 0.845677	0.843873	
5.31405 0.844032	0.842205	
5.32315 0.852721	0.85085	
5.33224 0.859909	0.857999	
5.34133 0.86601	0.864063	
5.35042 0.859345	0.857388	
5.35951 0.884195	0.882161	
5.3686 0.879156	0.877112	
5.37769 0.884463	0.882385	
5.38679 0.883278	0.881182	
5.39588 0.890824	0.888689	
5.40497 0.89975	0.897576	
5.41406 0.904239	0.902036	
5.42315 0.910814	0.908577	
5.43224 0.912881	0.910622	
5.44134 0.912323	0.910049	
5.45043 0.924251	0.921932	
5.45952 0.928901	0.926556	
5.46861 0.940571	0.938184	
5.4777 0.924408	0.922048	
5.48679 0.927413	0.925031	
5.49589 0.948309	0.945862	
5.50498 0.954163	0.951691	
5.51407 0.955571	0.953086	
5.52316 0.956444	0.953947	
5.53225 0.966275	0.963745	
5.54134 0.969646	0.967101	
5.55044 0.978218	0.975645	
5.55953 0.981114	0.978529	
5.56862 0.981754	0.979163	
5.57771 0.982494	0.979897	
5.5868 0.997035	0.994398	
5.59589 1.00423	1.00158	
5.60499 0.99444	0.991809	
5.61408 1.01134	1.00867	
5.62317 1.00072	0.998073	
5.63226 1.01391	1.01123	
5.64135 1.01203	1.00936	
5.65044 1.03173	1.02901	
5.65954 1.031	1.02829	
5.66863 1.04132	1.0386	
5.67772 1.03687	1.03416	
5.68681 1.04337	1.04066	
5.6959 1.04994	1.04722	
5.70499 1.04242	1.03972	
5.71408 1.06346	1.06072	
5.72318 1.07449	1.07175	
5.73227 1.06853	1.06582	
5.74136 1.07657	1.07386	
5.75045 1.07838	1.07569	
5.75954 1.08555	1.08285	
5.76863 1.08503	1.08235	
5.77773 1.10391	1.10121	
5.78682 1.08784	1.08521	
5.79591 1.10395	1.1013	
5.805 1.09713	1.09452	
5.81409 1.10816	1.10556	
5.82318 1.11608	1.11349	
5.83228 1.12384	1.12127	
5.84137 1.11815	1.11562	
5.85046 1.12151	1.119	
5.85955 1.12566	1.12318	
5.86864 1.13034	1.12789	
5.87773 1.12921	1.12679	
5.88683 1.12779	1.12541	
5.89592 1.15603	1.15364	
5.90501 1.14008	1.13776	
5.9141 1.13908	1.13679	
5.92319 1.15114	1.14887	
5.93228 1.15077	1.14854	
5.94138 1.15496	1.15277	
5.95047 1.15028	1.14815	
5.95956 1.16252	1.16041	
5.96865 1.16233	1.16026	
5.97774 1.17216	1.17013	
5.98683 1.17079	1.1688	
5.99593 1.18194	1.18	
6.00502 1.18016	1.17827	
6.01411 1.17173	1.16991	
6.0232 1.18224	1.18045	
6.03229 1.17749	1.17577	
6.04138 1.17538	1.17371	
6.05047 1.18908	1.18745	
6.05957 1.18514	1.18357	
6.06866 1.18991	1.18839	
6.07775 1.18377	1.18232	
6.08684 1.19481	1.19341	
6.09593 1.19806	1.19671	
6.10502 1.19261	1.19133	
6.11412 1.1921	1.19088	
6.12321 1.19631	1.19515	
6.1323 1.20088	1.19978	
6.14139 1.19591	1.19488	
6.15048 1.20227	1.2013	
6.15957 1.20133	1.20042	
6.16867 1.19403	1.19319	
6.17776 1.20437	1.20359	
6.18685 1.19636	1.19565	
6.19594 1.19761	1.19696	
6.20503 1.20657	1.20598	
6.21412 1.19866	1.19815	
6.22322 1.20653	1.20608	
6.23231 1.1962	1.19582	
6.2414 1.20647	1.20615	
6.25049 1.20575	1.2055	
6.25958 1.2041	1.20392	
6.26867 1.2013	1.20119	
6.27777 1.20226	1.20222	
6.28686 1.19672	1.19674	
6.29595 1.19129	1.19138	
6.30504 1.19345	1.19361	
6.31413 1.20424	1.20447	
6.32322 1.19701	1.1973	
6.33232 1.19227	1.19263	
6.34141 1.19464	1.19506	
6.3505 1.18571	1.18619	
6.35959 1.19284	1.19339	
6.36868 1.18773	1.18835	
6.37777 1.18825	1.18893	
6.38686 1.18211	1.18286	
6.39596 1.17587	1.17668	
6.40505 1.16902	1.16988	
6.41414 1.18788	1.18882	
6.42323 1.17088	1.17187	
6.43232 1.17037	1.17142	
6.44141 1.17041	1.17151	
6.45051 1.16771	1.16887	
6.4596 1.16154	1.16275	
6.46869 1.16132	1.16258	
6.47778 1.15279	1.1541	
6.48687 1.15732	1.15869	
6.49596 1.149	1.15042	
6.50506 1.15788	1.15937	
6.51415 1.14498	1.1465	
6.52324 1.13944	1.141	
6.53233 1.14619	1.14781	
6.54142 1.14799	1.14967	
6.55051 1.14443	1.14616	
6.55961 1.13581	1.13757	
6.5687 1.13077	1.13257	
6.57779 1.12542	1.12725	
6.58688 1.12747	1.12935	
6.59597 1.12686	1.12879	
6.60506 1.11833	1.12028	
6.61416 1.12418	1.12619	
6.62325 1.11385	1.11589	
6.63234 1.11088	1.11295	
6.64143 1.10524	1.10734	
6.65052 1.09817	1.10029	
6.65961 1.10458	1.10675	
6.66871 1.09895	1.10114	
6.6778 1.1002	1.10244	
6.68689 1.09724	1.0995	
6.69598 1.09057	1.09285	
6.70507 1.08893	1.09124	
6.71416 1.08721	1.08955	
6.72325 1.0774	1.07974	
6.73235 1.07499	1.07736	
6.74144 1.06752	1.0699	
6.75053 1.06321	1.0656	
6.75962 1.06273	1.06514	
6.76871 1.07414	1.07661	
6.7778 1.06133	1.06379	
6.7869 1.0582	1.06067	
6.79599 1.05687	1.05936	
6.80508 1.05289	1.05539	
6.81417 1.05343	1.05595	
6.82326 1.04337	1.04588	
6.83235 1.04489	1.04743	
6.84145 1.02915	1.03166	
6.85054 1.03906	1.04161	
6.85963 1.03903	1.0416	
6.86872 1.02626	1.0288	
6.87781 1.03707	1.03965	
6.8869 1.03077	1.03335	
6.896 1.03099	1.03358	
6.90509 1.01771	1.02028	
6.91418 1.02762	1.03022	
6.92327 1.01633	1.01891	
6.93236 1.01062	1.01319	
6.94145 1.00668	1.00924	
6.95055 1.01342	1.016	
6.95964 0.996717	0.999259	
6.96873 0.99274	0.99527	
6.97782 1.00108	1.00363	
6.98691 0.989206	0.991725	
6.996 0.98717	0.98968	
7.0051 0.988077	0.990586	
7.01419 0.98245	0.98494	
7.02328 0.979931	0.982408	
7.03237 0.979051	0.981519	
7.04146 0.980368	0.982833	
7.05055 0.981059	0.98352	
7.05964 0.971455	0.973883	
7.06874 0.972544	0.974966	
7.07783 0.963345	0.965731	
7.08692 0.961846	0.964216	
7.09601 0.951836	0.954165	
7.1051 0.970884	0.97325	
7.11419 0.956883	0.959201	
7.12329 0.954956	0.957254	
7.13238 0.957474	0.959763	
7.14147 0.948921	0.951172	
7.15056 0.954297	0.956545	
7.15965 0.947648	0.949862	
7.16874 0.951537	0.953743	
7.17784 0.952408	0.954601	
7.18693 0.945081	0.947237	
7.19602 0.946681	0.948822	
7.20511 0.941628	0.943737	
7.2142 0.937817	0.939896	
7.22329 0.934197	0.936245	
7.23239 0.933932	0.935956	
7.24148 0.927305	0.929289	
7.25057 0.921183	0.923127	
7.25966 0.930393	0.932331	
7.26875 0.926972	0.928877	
7.27784 0.928491	0.930374	
7.28694 0.928162	0.930019	
7.29603 0.917603	0.91941	
7.30512 0.922017	0.923804	
7.31421 0.917712	0.919461	
7.3233 0.918924	0.920647	
7.33239 0.917491	0.919181	
7.34149 0.913073	0.914724	
7.35058 0.916191	0.917817	
7.35967 0.909174	0.910755	
7.36876 0.911173	0.912725	
7.37785 0.91466	0.916187	
7.38694 0.913491	0.914984	
7.39603 0.906601	0.908049	
7.40513 0.917926	0.919362	
7.41422 0.903336	0.904713	
7.42331 0.904027	0.905371	
7.4324 0.904589	0.905898	
7.44149 0.905105	0.906379	
7.45058 0.907087	0.908329	
7.45968 0.903124	0.904325	
7.46877 0.908735	0.90991	
7.47786 0.900644	0.901771	
7.48695 0.900077	0.901166	
7.49604 0.90593	0.90699	
7.50513 0.899225	0.90024	
7.51423 0.899341	0.900317	
7.52332 0.897228	0.898164	
7.53241 0.902022	0.902925	
7.5415 0.900207	0.90107	
7.55059 0.902736	0.903565	
7.55968 0.89614	0.896922	
7.56878 0.903969	0.904721	
7.57787 0.904705	0.905421	
7.58696 0.902617	0.903293	
7.59605 0.898708	0.899342	
7.60514 0.902974	0.903573	
7.61423 0.898255	0.898812	
7.62333 0.90646	0.906984	
7.63242 0.899939	0.900421	
7.64151 0.898421	0.898861	
7.6506 0.896287	0.896685	
7.65969 0.897486	0.897844	
7.66878 0.902747	0.903068	
7.67788 0.901188	0.901469	
7.68697 0.903204	0.903447	
7.69606 0.896034	0.896233	
7.70515 0.901296	0.901457	
7.71424 0.905826	0.905949	
7.72333 0.900385	0.900467	
7.73243 0.910298	0.910344	
7.74152 0.901215	0.901219	
7.75061 0.904521	0.904487	
7.7597 0.897655	0.897579	
7.76879 0.90375	0.903634	
7.77788 0.903833	0.903676	
7.78697 0.899273	0.899075	
7.79607 0.903336	0.903096	
7.80516 0.907675	0.907396	
7.81425 0.906883	0.906565	
7.82334 0.908206	0.907848	
7.83243 0.902567	0.90217	
7.84152 0.907283	0.906844	
7.85062 0.907133	0.906655	
7.85971 0.917082	0.916563	
7.8688 0.916082	0.915526	
7.87789 0.915486	0.914894	
7.88698 0.914106	0.913477	
7.89607 0.916532	0.915865	
7.90517 0.91782	0.917116	
7.91426 0.925058	0.924314	
7.92335 0.918871	0.918096	
7.93244 0.924626	0.923812	
7.94153 0.923463	0.922616	
7.95062 0.926395	0.925512	
7.95972 0.919983	0.91907	
7.96881 0.926299	0.925346	
7.9779 0.925793	0.924806	
7.98699 0.92486	0.92384	
7.99608 0.925952	0.924896	
8.00517 0.923602	0.922514	
8.01427 0.929862	0.928734	
8.02336 0.928866	0.927706	
8.03245 0.943783	0.942578	
8.04154 0.946948	0.945713	
8.05063 0.943236	0.941978	
8.05972 0.940148	0.938866	
8.06882 0.937299	0.935991	
8.07791 0.933487	0.932152	
8.087 0.945179	0.9438	
8.09609 0.937398	0.936	
8.10518 0.944396	0.942961	
8.11427 0.946106	0.944641	
8.12336 0.952911	0.951413	
8.13246 0.957626	0.956098	
8.14155 0.94943	0.94789	
8.15064 0.948645	0.94708	
8.15973 0.956022	0.954423	
8.16882 0.959318	0.957693	
8.17791 0.962546	0.960896	
8.18701 0.95738	0.955717	
8.1961 0.956693	0.955008	
8.20519 0.962072	0.960358	
8.21428 0.953387	0.951664	
8.22337 0.967803	0.966037	
8.23246 0.969215	0.96743	
8.24156 0.96945	0.967647	
8.25065 0.974163	0.972338	
8.25974 0.968545	0.966713	
8.26883 0.974396	0.972539	
8.27792 0.981495	0.979613	
8.28701 0.974981	0.973098	
8.29611 0.980428	0.978522	
8.3052 0.980206	0.97829	
8.31429 0.975717	0.973796	
8.32338 0.988062	0.986109	
8.33247 0.9879	0.98594	
8.34156 0.986335	0.984369	
8.35066 0.988483	0.986506	
8.35975 0.984126	0.982149	
8.36884 0.994396	0.992394	
8.37793 0.992708	0.990703	
8.38702 0.992943	0.990934	
8.39611 0.991711	0.989699	
8.40521 1.00071	0.998679	
8.4143 0.999351	0.99732	
8.42339 1.00063	0.998598	
8.43248 1.0043	1.00226	
8.44157 1.00172	0.999687	
8.45066 1.00573	1.00369	
8.45975 1.01059	1.00855	
8.46885 1.00668	1.00465	
8.47794 1.00514	1.00311	
8.48703 1.01457	1.01252	
8.49612 1.01007	1.00804	
8.50521 1.02118	1.01914	
8.5143 1.02034	1.01832	
8.5234 1.01968	1.01767	
8.53249 1.01173	1.00974	
8.54158 1.01619	1.01419	
8.55067 1.01924	1.01725	
8.55976 1.02359	1.02161	
8.56885 1.02198	1.02001	
8.57795 1.01665	1.0147	
8.58704 1.02276	1.02081	
8.59613 1.02508	1.02314	
8.60522 1.03396	1.03202	
8.61431 1.02746	1.02554	
8.6234 1.03444	1.03254	
8.6325 1.03353	1.03164	
8.64159 1.03221	1.03034	
8.65068 1.0375	1.03565	
8.65977 1.0347	1.03287	
8.66886 1.03445	1.03264	
8.67795 1.03507	1.03328	
8.68705 1.03672	1.03495	
8.69614 1.03775	1.036	
8.70523 1.04265	1.04092	
8.71432 1.03784	1.03615	
8.72341 1.04088	1.03921	
8.7325 1.04621	1.04456	
8.7416 1.04236	1.04074	
8.75069 1.04396	1.04236	
8.75978 1.04624	1.04467	
8.76887 1.04735	1.0458	
8.77796 1.04555	1.04404	
8.78705 1.04847	1.04698	
8.79614 1.05119	1.04973	
8.80524 1.05057	1.04914	
8.81433 1.04642	1.04503	
8.82342 1.0482	1.04683	
8.83251 1.04985	1.04852	
8.8416 1.05248	1.05118	
8.85069 1.05153	1.05027	
